Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Estonia,EST,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.15922508
Estonia,EST,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.378
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1.63698E+11
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.498134642
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1293.778008
Ethiopia,ETH,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Ethiopia,ETH,"Population, total",SP.POP.TOTL,126527060
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.157
Ethiopia,ETH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Ethiopia,ETH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,30.21882781
Ethiopia,ETH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,5494797541
Fiji,FJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.026408625
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5868.159168
Fiji,FJI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Fiji,FJI,"Population, total",SP.POP.TOTL,936375
Fiji,FJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.713
Fiji,FJI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.246798038
Fiji,FJI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Fiji,FJI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,3.00187E+11
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.035375693
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,53755.91174
Finland,FIN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Finland,FIN,"Population, total",SP.POP.TOTL,5584264
Finland,FIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.773
Finland,FIN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Finland,FIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.250643222
Finland,FIN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.151
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,3.0309E+12
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.703718547
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,44460.81785
France,FRA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
France,FRA,"Population, total",SP.POP.TOTL,68170228
France,FRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.777
France,FRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.878357265
France,FRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.335
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,30535530479
Georgia,GEO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.474479094
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,8120.363443
Georgia,GEO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Georgia,GEO,"Population, total",SP.POP.TOTL,3760365
Georgia,GEO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.727
Georgia,GEO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.738610029
Georgia,GEO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.487760566
Georgia,GEO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,4.45608E+12
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.304934576
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,52745.75571
Germany,DEU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Germany,DEU,"Population, total",SP.POP.TOTL,84482267
Germany,DEU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.765
Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.946436677
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.068
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,76370394412
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.944785831
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2238.158021
Ghana,GHA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Ghana,GHA,"Population, total",SP.POP.TOTL,34121985
Ghana,GHA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.238
Ghana,GHA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Ghana,GHA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,38.10696563
Ghana,GHA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,2.38206E+11
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.011520943
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,22990.01357
Greece,GRC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Greece,GRC,"Population, total",SP.POP.TOTL,10361295
Greece,GRC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.673
Greece,GRC,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.464801285
Greece,GRC,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.023
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,3.82055E+11
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.21505497
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,50696.59032
"Hong Kong SAR, China",HKG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7536100
"Hong Kong SAR, China",HKG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
"Hong Kong SAR, China",HKG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.803100109
"Hong Kong SAR, China",HKG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.096605112
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.949
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,2.12389E+11
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.907685956
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,22147.20973
Hungary,HUN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Hungary,HUN,"Population, total",SP.POP.TOTL,9589872
Hungary,HUN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.864
Hungary,HUN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Hungary,HUN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,17.12496597
Hungary,HUN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.107
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,31020032583
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.06379899
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,78811.05839
Iceland,ISL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Iceland,ISL,"Population, total",SP.POP.TOTL,393600
Iceland,ISL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.042
Iceland,ISL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Iceland,ISL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.736302999
Iceland,ISL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.518
India,IND,GDP (current US$),NY.GDP.MKTP.CD,3.54992E+12
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.583971124
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2484.845429
India,IND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
India,IND,"Population, total",SP.POP.TOTL,1428627663
India,IND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.364
India,IND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.649143189
India,IND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.172
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1.37117E+12
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.048105771
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4940.549805
Indonesia,IDN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Indonesia,IDN,"Population, total",SP.POP.TOTL,277534122
Indonesia,IDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.572
Indonesia,IDN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.275170922
Indonesia,IDN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.670131424
Indonesia,IDN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.308
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,4.01505E+11
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.952163169
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,4502.546329
"Iran, Islamic Rep.",IRN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,89172767
"Iran, Islamic Rep.",IRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.257
"Iran, Islamic Rep.",IRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.928923845
"Iran, Islamic Rep.",IRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,44.57918576
"Iran, Islamic Rep.",IRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,2.50843E+11
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.93555774
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5512.47572
Iraq,IRQ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Iraq,IRQ,"Population, total",SP.POP.TOTL,45504560
Iraq,IRQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.599
Iraq,IRQ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Iraq,IRQ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,5.45629E+11
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.19878596
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,103684.8808
Ireland,IRL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Ireland,IRL,"Population, total",SP.POP.TOTL,5262382
Ireland,IRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.466
Ireland,IRL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Ireland,IRL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.299424874
Ireland,IRL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.288
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,5.09901E+11
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.997039988
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,52261.67615
Israel,ISR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Israel,ISR,"Population, total",SP.POP.TOTL,9756700
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.854
Israel,ISR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Israel,ISR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.225352113
Israel,ISR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.371
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2.25485E+12
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.920692214
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,38373.16605
Italy,ITA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Italy,ITA,"Population, total",SP.POP.TOTL,58761146
Italy,ITA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.973
Italy,ITA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.622194422
Italy,ITA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.627
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,19423355367
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.200061472
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,6874.200284
Jamaica,JAM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Jamaica,JAM,"Population, total",SP.POP.TOTL,2825544
Jamaica,JAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.378
Jamaica,JAM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.654536724
Jamaica,JAM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.474137347
Jamaica,JAM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.022
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4.21295E+12
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.923055531
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,33834.39211
Japan,JPN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Japan,JPN,"Population, total",SP.POP.TOTL,124516650
Japan,JPN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.043
Japan,JPN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Japan,JPN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.268133659
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.6
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,50813642349
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.61548743
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4482.086026
Jordan,JOR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Jordan,JOR,"Population, total",SP.POP.TOTL,11337052
Jordan,JOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.02
Jordan,JOR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.084869863
Jordan,JOR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,13987627909
Kyrgyz Republic,KGZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.151391837
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1969.866481
Kyrgyz Republic,KGZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,7100800
Kyrgyz Republic,KGZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.801
Kyrgyz Republic,KGZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.826946735
Kyrgyz Republic,KGZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,10.75327704
Kyrgyz Republic,KGZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,2.61421E+11
Kazakhstan,KAZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.1
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,13136.62291
Kazakhstan,KAZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,19900177
Kazakhstan,KAZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.179
Kazakhstan,KAZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Kazakhstan,KAZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,14.72499002
Kazakhstan,KAZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1.07441E+11
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.425816151
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1949.898969
Kenya,KEN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Kenya,KEN,"Population, total",SP.POP.TOTL,55100586
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.52
Kenya,KEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.962293148
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.67139634
Kenya,KEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,10438351483
Kosovo,XKX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.337894699
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,5943.125714
Kosovo,XKX,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Kosovo,XKX,"Population, total",SP.POP.TOTL,1756374
Kosovo,XKX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,..
Kosovo,XKX,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Kosovo,XKX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.944227096
Kosovo,XKX,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1.61772E+11
Kuwait,KWT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.230093463
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,37533.21772
Kuwait,KWT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Kuwait,KWT,"Population, total",SP.POP.TOTL,4310108
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Kuwait,KWT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.026260853
Kuwait,KWT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.64216403
Kuwait,KWT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,..
"Korea, Dem. People's Rep.",PRK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,..
"Korea, Dem. People's Rep.",PRK,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,26160821
"Korea, Dem. People's Rep.",PRK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.203
"Korea, Dem. People's Rep.",PRK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
"Korea, Dem. People's Rep.",PRK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
"Korea, Dem. People's Rep.",PRK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1.71279E+12
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.356733243
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,33121.37129
"Korea, Rep.",KOR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51712619
"Korea, Rep.",KOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.456
"Korea, Rep.",KOR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
"Korea, Rep.",KOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.59745625
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.675
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,7.09433E+12
Latin America & Caribbean,LCN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.153083954
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,10681.73309
Latin America & Caribbean,LCN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,664155299
Latin America & Caribbean,LCN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.86847314
Latin America & Caribbean,LCN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Latin America & Caribbean,LCN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.629302424
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.186163724
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,6.05058E+12
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.151256544
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,10070.44338
Latin America & Caribbean (excluding high income),LAC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,600825676
Latin America & Caribbean (excluding high income),LAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.48439465
Latin America & Caribbean (excluding high income),LAC,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Latin America & Caribbean (excluding high income),LAC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.612792838
Latin America & Caribbean (excluding high income),LAC,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.059161228
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,6.77278E+12
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.180328956
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,10439.52607
Latin America & the Caribbean (IDA & IBRD countries),TLA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,648763330
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.8840054
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.630662639
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.184121589
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,43627078481
Latvia,LVA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.282539558
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,23184.31167
Latvia,LVA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Latvia,LVA,"Population, total",SP.POP.TOTL,1881750
Latvia,LVA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.671
Latvia,LVA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Latvia,LVA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.938046233
Latvia,LVA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.465
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,..
Lebanon,LBN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Lebanon,LBN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Lebanon,LBN,"Population, total",SP.POP.TOTL,5353930
Lebanon,LBN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.432
Lebanon,LBN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,221.341644
Lebanon,LBN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,50491722446
Libya,LBY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.672589946
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,7329.976541
Libya,LBY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Libya,LBY,"Population, total",SP.POP.TOTL,6888388
Libya,LBY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.606
